incon_acc,con_acc,perf,num_trials,StudyID
0.9285714285714286,1,-0.0714285714285714,28,43
0.7692307692307693,1,-0.23076923076923073,27,46
1,0.9230769230769232,0.07692307692307687,27,48
0.9230769230769232,1,-0.07692307692307687,27,55
0.7692307692307693,1,-0.23076923076923073,27,71
0.9285714285714286,0.9285714285714286,0,28,76
0.7142857142857143,1,-0.2857142857142857,27,87
0.9230769230769232,1,-0.07692307692307687,27,88
0.7857142857142857,0.7857142857142857,0,28,94
1,1,0,28,101
1,1,0,28,109
1,0.9285714285714286,0.0714285714285714,27,128
0.9230769230769232,0.9285714285714286,-0.00549450549450547,27,129
1,1,0,27,4
1,1,0,28,7
1,1,0,27,16
1,1,0,27,19
0.9285714285714286,1,-0.0714285714285714,28,32
1,1,0,28,34
0.9285714285714286,1,-0.0714285714285714,28,36
0.8571428571428571,1,-0.1428571428571429,27,40
1,1,0,28,44
0.7692307692307693,1,-0.23076923076923073,27,53
0.8571428571428571,0.8461538461538461,0.01098901098901095,27,60
1,1,0,26,73
0.9230769230769232,0.9285714285714286,-0.00549450549450547,27,77
0.9230769230769232,1,-0.07692307692307687,27,85
0.8571428571428571,1,-0.1428571428571429,28,102
1,1,0,27,117
1,1,0,28,119
1,1,0,27,130
0.9230769230769232,0.9285714285714286,-0.00549450549450547,27,122
1,1,0,27,12
1,1,0,27,18
1,1,0,27,25
1,1,0,28,26
0.9285714285714286,1,-0.0714285714285714,28,33
0.9230769230769232,1,-0.07692307692307687,27,45
1,1,0,28,68
1,1,0,27,83
0.8571428571428571,0.7857142857142857,0.0714285714285714,28,98
1,0.9285714285714286,0.0714285714285714,27,99
1,0.9230769230769232,0.07692307692307687,27,106
0.9230769230769232,0.9285714285714286,-0.00549450549450547,27,110
1,0.9230769230769232,0.07692307692307687,27,115
1,1,0,27,131
1,1,0,27,133
1,1,0,28,138
0.8571428571428571,1,-0.1428571428571429,28,144
1,1,0,28,149
1,1,0,28,153
1,1,0,28,154
0.8461538461538461,1,-0.15384615384615383,27,155
0.7857142857142857,1,-0.2142857142857143,27,104
0.9230769230769232,1,-0.07692307692307687,27,157
0.9285714285714286,1,-0.0714285714285714,27,13
1,1,0,27,15
1,1,0,27,28
0.9285714285714286,0.9285714285714286,0,28,37
0.9285714285714286,1,-0.0714285714285714,27,51
1,1,0,28,52
0.9230769230769232,1,-0.07692307692307687,27,69
0.8571428571428571,1,-0.1428571428571429,28,78
0.6923076923076923,1,-0.3076923076923077,27,82
0.9285714285714286,0.9230769230769232,0.00549450549450547,27,89
1,1,0,28,90
1,1,0,28,91
0.7692307692307693,0.9285714285714286,-0.15934065934065933,27,95
0.7857142857142857,1,-0.2142857142857143,28,96
1,1,0,27,97
0.8571428571428571,1,-0.1428571428571429,27,103
0.9285714285714286,0.7857142857142857,0.1428571428571429,28,107
0.9285714285714286,0.8461538461538461,0.08241758241758246,27,123
0.9230769230769232,1,-0.07692307692307687,27,124
0.8571428571428571,1,-0.1428571428571429,28,10
0.9285714285714286,1,-0.0714285714285714,28,21
0.8571428571428571,1,-0.1428571428571429,28,29
1,0.9285714285714286,0.0714285714285714,28,39
1,0.9230769230769232,0.07692307692307687,26,42
1,1,0,27,50
0.8571428571428571,0.9285714285714286,-0.07142857142857151,28,57
0.7142857142857143,1,-0.2857142857142857,28,59
0.4615384615384616,0.8571428571428571,-0.39560439560439553,27,63
0.9285714285714286,1,-0.0714285714285714,27,70
1,1,0,28,105
0.8571428571428571,1,-0.1428571428571429,28,120
0.9285714285714286,0.9285714285714286,0,28,140
0.9285714285714286,0.8461538461538461,0.08241758241758246,27,141
1,1,0,26,145
1,0.9230769230769232,0.07692307692307687,27,146
0.9285714285714286,1,-0.0714285714285714,28,150
1,1,0,28,156
1,1,0,27,6
1,1,0,28,11
1,1,0,27,14
0.9285714285714286,1,-0.0714285714285714,27,23
0.9285714285714286,1,-0.0714285714285714,28,27
0.9230769230769232,1,-0.07692307692307687,27,30
1,0.9285714285714286,0.0714285714285714,28,38
1,1,0,27,47
0.9285714285714286,1,-0.0714285714285714,28,58
0.2857142857142857,0.8461538461538461,-0.5604395604395604,27,61
0.7857142857142857,1,-0.2142857142857143,28,148
1,0.9285714285714286,0.0714285714285714,27,74
0.7692307692307693,0.7142857142857143,0.05494505494505497,27,79
0.8571428571428571,0.9230769230769232,-0.06593406593406603,27,111
